Reg.code;Region;FO;IPI.2015;PIM.2015;DDFA.2015;FCI.2014;DLR.2015
1000;Российская Федерация;NA;96,6;110,7;48,8;92802;20659502
1001;Центральный федеральный округ;ЦФО;97,2;114,4;41,3;88361;10722673
31;Белгородская область;ЦФО;105,5;109,9;46,9;77871;215824
32;Брянская область;ЦФО;113,5;112,6;46,3;53989;72657
33;Владимирская область;ЦФО;99,8;114,1;45,6;53685;88074
36;Воронежская область;ЦФО;103,7;109,6;44,5;104401;265902
37;Ивановская область;ЦФО;92,1;108;44,2;28656;41024
40;Калужская область;ЦФО;94,6;112,3;36,8;99041;118047
44;Костромская область;ЦФО;91,5;109,7;48,8;41979;35996
46;Курская область;ЦФО;104,3;116,4;51,7;64162;165050
48;Липецкая область;ЦФО;100,8;109,2;52,6;95008;97241
50;Московская область;ЦФО;101,1;111,8;42,2;82772;1130498
57;Орловская область;ЦФО;100,2;115,2;48,9;58534;56597
62;Рязанская область;ЦФО;97,2;112,4;53;51145;89578
67;Смоленская область;ЦФО;101,4;108,5;50,6;58724;64293
68;Тамбовская область;ЦФО;104,5;112,6;58,1;105767;85078
69;Тверская область;ЦФО;97,7;107,9;46,8;56426;60344
71;Тульская область;ЦФО;111,9;113,5;43,2;62888;147828
76;Ярославская область;ЦФО;105,6;111,3;51,6;60149;127730
77;г. Москва;ЦФО;97,2;117,3;35,5;121565;7860912
1002;Северо-Западный федеральный округ;СЗФО;96;113,1;42,6;98238;2245380
10;Республика Карелия;СЗФО;99,7;112,4;47,2;48676;30699
11;Республика Коми;СЗФО;101,6;109,3;46;238899;27854
83;Ненецкий автономный округ;СЗФО;103,8;119,9;46,1;124734;122244
29;Архангельская область ;СЗФО;106,2;111,8;44,3;1950229;977
35;Вологодская область;СЗФО;101,9;121,1;47,7;55823;121267
39;Калининградская область;СЗФО;102,6;112,3;48,7;54430;97913
47;Ленинградская область;СЗФО;92,2;107,2;40,3;60558;127528
51;Мурманская область;СЗФО;99,6;111,2;40;101019;225330
53;Новгородская область;СЗФО;106,8;125,6;41,8;94000;29783
60;Псковская область;СЗФО;102,7;111,9;48,4;104618;32859
78;г. Санкт-Петербург;СЗФО;102,8;106,6;45,9;45134;35586
1003;Южный федеральный округ;ЮФО;93;114;38,3;97372;1515584
1;Республика Адыгея;ЮФО;102,8;111,2;40,1;91337;1281023
8;Республика Калмыкия;ЮФО;103,1;115,2;51,1;35740;17703
23;Краснодарский край;ЮФО;99,7;100,1;44,3;63330;8101
30;Астраханская область;ЮФО;102,4;116,6;33,1;127691;683633
34;Волгоградская область;ЮФО;109,6;98,1;49,6;110541;37298
61;Ростовская область;ЮФО;101,1;109,6;52,4;68307;129827
1004;Северо-Кавказский федеральный округ;СКФО;153,2;110,7;40,5;61853;404461
5;Республика Дагестан;СКФО;102,3;110,5;47,9;53708;307465
6;Республика Ингушетия ;СКФО;105,2;108,3;44,8;71083;34473
7;Кабардино-Балкарская Республика;СКФО;100,4;103,5;50,5;34171;6971
9;Карачаево-Черкесская Республика;СКФО;104,2;115,9;38,3;31459;43643
15;Республика Северная Осетия – Алания;СКФО;102;106,1;38,2;45022;30225
20;Чеченская Республика ;СКФО;91,7;111,4;51,3;51558;14479
26;Ставропольский край;СКФО;101;105,4;49,7;45692;19679
1005;Приволжский федеральный округ;ПФО;105,7;112;49,5;51148;157995
2;Республика Башкортостан;ПФО;96,5;111,7;53,4;79253;2633149
12;Республика Марий Эл;ПФО;101,3;111,2;53;70138;305409
13;Республика Мордовия;ПФО;108,5;110,1;61,2;70275;60314
16;Республика Татарстан;ПФО;98,1;108,9;56,4;68217;94051
18;Удмуртская Республика;ПФО;101,5;113;44,4;141106;542390
21;Чувашская Республика;ПФО;102,6;107;62,3;59209;94214
59;Пермский край;ПФО;95;111,9;55,4;45556;95553
43;Кировская область;ПФО;99,5;111,6;60,4;70413;256677
52;Нижегородская область;ПФО;103,3;104,5;52,5;43050;57904
56;Оренбургская область;ПФО;102,5;111,7;49,7;87495;360226
58;Пензенская область;ПФО;92,5;120,4;58;74923;120113
63;Самарская область;ПФО;104,8;106,2;51,2;61623;67432
64;Саратовская область;ПФО;99,4;109,5;53,7;93499;347439
73;Ульяновская область;ПФО;104,2;112,1;54,2;53233;152591
1006;Уральский федеральный округ;УФО;102,4;114,2;46,1;64952;78836
45;Курганская область;УФО;98,1;106,7;61,3;189522;1439130
66;Свердловская область;УФО;101,8;107;54,9;37537;31161
86;Ханты-Мансийский автономный округ – Югра;УФО;96,9;113,5;58,5;85654;509067
89;Ямало-Ненецкий автономный округ;УФО;100;103,3;62,9;474299;518059
72;Тюменская область ;УФО;97,5;112,7;67,4;442072;151023
74;Челябинская область;УФО;104,5;106,3;59,6;1326119;113639
1007;Сибирский федеральный округ;СФО;109,7;86;49,5;186752;253397
4;Республика Алтай;СФО;98;110,5;48,5;65581;380843
3;Республика Бурятия;СФО;100,2;108,6;44,3;74653;1501308
17;Республика Тыва;СФО;125,2;112;37,8;64843;12750
19;Республика Хакасия;СФО;101,6;108,2;35,2;36945;62513
22;Алтайский край;СФО;105,1;105,6;39;51737;3634
75;Забайкальский край;СФО;98;106,9;32,9;67880;15577
24;Красноярский край;СФО;100,1;109,7;45,5;42789;130307
38;Иркутская область;СФО;99,4;108,3;34,9;59860;20864
42;Кемеровская область;СФО;99;108,8;40,6;120646;382927
54;Новосибирская область;СФО;105,8;110,8;46;79639;179628
55;Омская область;СФО;101,8;106,8;46,8;87829;231636
70;Томская область;СФО;101;110,7;47,4;65730;248911
1008;Дальневосточный федеральный округ;ДФО;100,4;106,8;45,4;53535;137361
14;Республика Саха (Якутия);ДФО;108;109,6;55,3;101400;75200
41;Камчатский край;ДФО;101;116,5;38,5;131880;526325
25;Приморский край;ДФО;103,8;116,2;41;211540;73604
27;Хабаровский край;ДФО;103,4;127;36,3;79101;28193
28;Амурская область;ДФО;87,6;114,7;33,6;69555;202065
49;Магаданская область;ДФО;102;110,4;34,6;88034;132787
65;Сахалинская область;ДФО;92,5;115,8;35,9;91503;32990
79;Еврейская автономная область;ДФО;107,5;148,4;40,4;257061;17594
87;Чукотский автономный округ;ДФО;112,6;108,5;41,1;429465;30302
